분류,제품번호,제품명,규격,적재패턴,박스단위,파렛트단위,포장,박스규격(mm),,,"박스무게
 (kg)",적재 방향 제한,"파손
 취약성"
,,,,,,,,가로,세로,높이,,,
비타민음료,71313,비타500 라임 170ml (24입/PET),170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,71335,비타500 라임 170ml (24입/PET)디즈니,170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,71314,비타500 자몽 170ml (24입/PET),170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,71336,비타500 자몽 170ml (24입/PET)디즈니,170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,70777,광동비타500칼슘180ml(40入),180ML,8박스*8단=64박스,40,2560,BOX,470,295,170,15.8,변경 불가,보통
비타민음료,71346,비타500 ZERO 180ml(40입),180ML,8박스*8단=64박스,40,2560,BOX,470,295,170,15.8,변경 불가,보통
비타민음료,70877,비타500 아연180ml(40입),180ML,8박스*8단=64박스,40,2560,BOX,470,295,170,15.8,변경 불가,보통
비타민음료,71318,비타500캔 240ml(30입/11형),240ML,11스*11단=121박스,30,3630,BOX,330,270,135,8,변경 불가,보통
비타민음료,70786,비타500캔(F) 240ml(24입),240ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.5,최상단 변경 가능,보통
비타민음료,71326,비타500 ZERO 스파클링 유자(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,최상단 변경 가능,보통
비타민음료,71302,비타500 ZERO 스파클링(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,최상단 변경 가능,보통
비타민음료,70800,비타500스파클링(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,최상단 변경 가능,보통
비타민음료,71317,비타500치어팩 250ml (30입/11형),250ML,8박스*8단=64박스,30,1920,BOX,455,260,165,8.7,변경 불가,취약
비타민음료,71324,비타500 ZERO 아이스 340ml (40입),340ML,8박스*6단=48박스,40,1920,BOX,580,245,230,13.6,변경 불가,취약
식품쌍화,71010,광동쌍화,100ML,10박스*4단=40박스,100,4000,BOX,480,240,260,24,변경 불가,보통
식품쌍화,70611,광동쌍화골드,100ML,10박스*4단=40박스,100,4000,BOX,480,240,260,24,변경 불가,보통
식품쌍화,70613,광동진쌍화,100ML,10박스*4단=40박스,100,4000,BOX,480,240,260,24,변경 불가,보통
식품쌍화,70276,광동생강쌍화120ml(신),120ML,10박스*4단=40박스,100,4000,BOX,480,245,295,26.4,변경 불가,보통
식품쌍화,70616,광동 진생강쌍화 150ml,150ML,8박스*8단=64박스,40,2560,BOX,470,295,156,13.8,변경 불가,보통
식품쌍화,70615,광동유자쌍화,150ML,8박스*8단=64박스,40,2560,BOX,470,295,156,13.8,변경 불가,보통
썬키스트,74117,썬키스트 감귤주스30 1.5L(12입_OKF),1.5L,12박스*4단=48박스,12,576,BOX,345,255,310,19.92,최상단 변경 가능,보통
썬키스트,74317,썬키스트 감귤주스30 1.5L(6입_OKF),1.5L,24박스*4단=96박스,6,576,BOX,262,172,316,9960,최상단 변경 가능,보통
썬키스트,74217,썬키스트 감귤주스30 1.5L(6팩 2입_건사),1.5L,24박스*4단=96박스,12,576,BOX,345,255,310,19.92,최상단 변경 가능,보통
썬키스트,74319,썬키스트 사과주스40 1.5L(6입_OKF),1.5L,24박스*4단=96박스,6,576,BOX,262,172,316,9960,최상단 변경 가능,보통
썬키스트,74119,썬키스트 사과주스40 1.5L(6팩2입_건사),1.5L,12박스*4단=48박스,12,576,BOX,345,255,310,19.92,최상단 변경 가능,보통
썬키스트,74116,썬키스트 사과주스80 1.5L(12입_OKF),1.5L,12박스*4단=48박스,12,576,BOX,345,255,310,19.92,최상단 변경 가능,보통
썬키스트,74114,썬키스트 오렌지주스83 1.5L(12입_OKF),1.5L,12박스*4단=48박스,12,576,BOX,345,255,310,19.92,최상단 변경 가능,보통
썬키스트,74118,썬키스트 포도주스40 1.5L(12입_OKF),1.5L,12박스*4단=48박스,12,576,BOX,345,255,310,20.04,최상단 변경 가능,보통
썬키스트,74115,썬키스트 포도주스80 1.5L(12입_OKF),1.5L,12박스*4단=48박스,12,576,BOX,345,255,310,19.92,최상단 변경 가능,보통
썬키스트,74133,썬키스트 키즈 트리플 구미 이뮨하이(HI)_비매품,16G,6박스*4단=24박스,512,12288,BOX,395,200,200,13.4,변경 불가,취약
썬키스트,74125,"썬키스트 오렌지 소다 190ml(CAN,30입)",190ML,12박스*13단=156박스,30,4680,BOX,325,270,110,6,변경 불가,보통
썬키스트,74126,"썬키스트 자몽 소다 190ml(CAN,30입)",190ML,12박스*13단=156박스,30,4680,BOX,325,270,110,6,변경 불가,보통
썬키스트,74128,"썬키스트 제로 복숭아레몬 소다 190ml(CAN,30입)",190ML,12박스*13단=156박스,30,4680,BOX,325,270,110,6,변경 불가,보통
썬키스트,74127,"썬키스트 제로 자두자몽 소다 190ml(CAN,30입)",190ML,12박스*13단=156박스,30,4680,BOX,325,270,110,6,변경 불가,보통
썬키스트,74122,썬키스트 토마토 200ml(팩24입),200ML,18박스*10단=180박스,24,4320,BOX,331,164,113,5.184,변경 불가,취약
썬키스트,74132,썬키스트 키즈 트리플 구미 이뮨하이(HI)_60입,240G,12박스*7단=84박스,8,672,BOX,395,200,200,3.14,변경 불가,취약
썬키스트,74102,썬키스트 모과생강(24입),280ML,10박스*10단=100박스,24,2400,BOX,410,270,140,5.472,최상단 변경 가능,보통
썬키스트,74101,썬키스트 허니유자(24입),280ML,10박스*10단=100박스,24,2400,BOX,410,270,140,5.472,최상단 변경 가능,보통
썬키스트,74129,썬키스트 코코 리치(24입),300ML,10박스*9단=90박스,24,2160,BOX,411,273,156,8.412,최상단 변경 가능,보통
썬키스트,74141,썬키스트 코코 오렌지(20입),300ML,12박스* 9단=108박스,20,2160,BOX,344,270,156,6.76,최상단 변경 가능,보통
썬키스트,74131,썬키스트 코코 오렌지(24입),300ML,10박스*9단=90박스,24,2160,BOX,411,273,156,8.412,최상단 변경 가능,보통
썬키스트,74130,썬키스트 코코 피치(24입),300ML,10박스*9단=90박스,24,2160,BOX,411,273,156,8.412,최상단 변경 가능,보통
썬키스트,74138,"썬키스트 애사비 제로 스파클링 350ml(PET,24입)",350ML,11박스*7단=77박스,24,1848,BOX,374,247,180,8.88,최상단 변경 가능,보통
썬키스트,74104,"썬키스트 오렌지 소다 355ml(CAN,24입)",355ML,10박스*10단=100박스,24,2400,BOX,405,267,114,8.88,변경 불가,보통
썬키스트,74107,"썬키스트 자몽 소다 355ml(CAN,24입)",355ML,10박스*10단=100박스,24,2400,BOX,405,267,114,8.88,변경 불가,보통
썬키스트,74112,"썬키스트 제로 복숭아레몬 소다 355ml(CAN,24입)",355ML,10박스*10단=100박스,24,2400,BOX,405,267,114,8.88,변경 불가,보통
썬키스트,74137,"썬키스트 제로 오렌지 소다 355ml(CAN,24입)",355ML,10박스*10단=100박스,24,2400,BOX,405,267,114,8.88,변경 불가,보통
썬키스트,74110,"썬키스트 제로 자두자몽 소다 355ml(CAN,24입)",355ML,10박스*10단=100박스,24,2400,BOX,405,267,114,8.88,변경 불가,보통
썬키스트,74136,"썬키스트 제로 자몽 소다 355ml(CAN,24입)",355ML,10박스*10단=100박스,24,2400,BOX,405,267,114,8.88,변경 불가,보통
썬키스트,74103,썬키스트 레몬에이드(24입),500ML,9박스*7단=63박스,24,1512,BOX,390,260,210,12.816,최상단 변경 가능,보통
썬키스트,74105,"썬키스트 오렌지 소다 600ml(PET,24입)",600ML,9박스*6단=54박스,24,1296,BOX,421,278,227,15.336,최상단 변경 가능,보통
썬키스트,74108,"썬키스트 자몽 소다 600ml(PET,24입)",600ML,9박스*6단=54박스,24,1296,BOX,421,278,227,15.336,최상단 변경 가능,보통
